"DATE","DEATHS","AVERAGE"
"2020-10-05",15,12.428571428571429
"2020-10-06",19,13.714285714285714
"2020-10-07",20,15.714285714285714
"2020-10-08",20,16.428571428571427
"2020-10-09",20,17.714285714285715
"2020-10-10",22,18.714285714285715
"2020-10-11",28,20.571428571428573
"2020-10-12",36,23.571428571428573
"2020-10-13",35,25.857142857142858
"2020-10-14",41,28.857142857142858
"2020-10-15",37,31.285714285714285
"2020-10-16",37,33.714285714285715
"2020-10-17",23,33.857142857142854
"2020-10-18",31,34.285714285714285
"2020-10-19",55,37
"2020-10-20",53,39.57142857142857
"2020-10-21",61,42.42857142857143
"2020-10-22",57,45.285714285714285
"2020-10-23",93,53.285714285714285
"2020-10-24",95,63.57142857142857
"2020-10-25",98,73.14285714285714
"2020-10-26",123,82.85714285714286
"2020-10-27",130,93.85714285714286
"2020-10-28",143,105.57142857142857
"2020-10-29",144,118
"2020-10-30",184,131
"2020-10-31",177,142.71428571428572
"2020-11-01",165,152.28571428571428
"2020-11-02",213,165.14285714285714
"2020-11-03",174,171.42857142857142
"2020-11-04",200,179.57142857142858
"2020-11-05",210,189
"2020-11-06",218,193.85714285714286
"2020-11-07",210,198.57142857142858
"2020-11-08",210,205
"2020-11-09",198,202.85714285714286
"2020-11-10",219,209.28571428571428
"2020-11-11",194,208.42857142857142
"2020-11-12",172,203
"2020-11-13",183,198
"2020-11-14",178,193.42857142857142
"2020-11-15",193,191
"2020-11-16",195,190.57142857142858
"2020-11-17",157,181.71428571428572
"2020-11-18",160,176.85714285714286
"2020-11-19",172,176.85714285714286
"2020-11-20",171,175.14285714285714
"2020-11-21",141,169.85714285714286
"2020-11-22",136,161.71428571428572
"2020-11-23",141,154
"2020-11-24",123,149.14285714285714
"2020-11-25",139,146.14285714285714
"2020-11-26",117,138.28571428571428
"2020-11-27",126,131.85714285714286
"2020-11-28",118,128.57142857142858
"2020-11-29",119,126.14285714285714
"2020-11-30",102,120.57142857142857
"2020-12-01",110,118.71428571428571
"2020-12-02",117,115.57142857142857
"2020-12-03",94,112.28571428571429
"2020-12-04",110,110
"2020-12-05",87,105.57142857142857
"2020-12-06",85,100.71428571428571
"2020-12-07",97,100
"2020-12-08",93,97.57142857142857
"2020-12-09",90,93.71428571428571
"2020-12-10",95,93.85714285714286
"2020-12-11",114,94.42857142857143
"2020-12-12",87,94.42857142857143
"2020-12-13",92,95.42857142857143
"2020-12-14",100,95.85714285714286
"2020-12-15",103,97.28571428571429
"2020-12-16",98,98.42857142857143
"2020-12-17",90,97.71428571428571
"2020-12-18",84,93.42857142857143
"2020-12-19",93,94.28571428571429
"2020-12-20",89,93.85714285714286
"2020-12-21",70,89.57142857142857
"2020-12-22",102,89.42857142857143
"2020-12-23",93,88.71428571428571
"2020-12-24",81,87.42857142857143
"2020-12-25",67,85
"2020-12-26",64,80.85714285714286
"2020-12-27",61,76.85714285714286
