DATE,TYPE,REGION,VIALS,DOSES_PER_VIAL,DOSES,MAX_DOSES_PER_VIAL,MAX_DOSES
2021-08-06,Moderna,Flanders,3880,10,38800,12,46560
2021-08-06,Janssen (J&J),Flanders,-734,5,-3670,6,-4404
2021-08-06,Moderna,Wallonia,-15,10,-150,12,-180
2021-08-06,Janssen (J&J),Wallonia,344,5,1720,6,2064
2021-08-06,Moderna,Brussels,15,10,150,12,180
2021-08-06,Moderna,Stock,2840,10,28400,12,34080
2021-08-06,Janssen (J&J),Other,390,5,1950,6,2340
2021-08-09,Pfizer/BioNTech,Flanders,41535,6,249210,7,290745
2021-08-09,Pfizer/BioNTech,Wallonia,22425,6,134550,7,156975
2021-08-09,Pfizer/BioNTech,Brussels,195,6,1170,7,1365
2021-08-09,Pfizer/BioNTech,Ostbelgien,390,6,2340,7,2730
2021-08-09,Pfizer/BioNTech,Stock,7020,6,42120,7,49140
2021-08-11,AstraZeneca,Donations - COVAX,4320,10,43200,12,51840
2021-08-11,AstraZeneca,Ostbelgien,-110,10,-1100,12,-1320
2021-08-11,AstraZeneca,Stock,110,10,1100,12,1320
2021-08-13,Moderna,Flanders,3880,10,38800,12,46560
2021-08-13,Janssen (J&J),Flanders,-205,5,-1025,6,-1230
2021-08-13,Janssen (J&J),Wallonia,205,5,1025,6,1230
2021-08-13,Moderna,Brussels,680,10,6800,12,8160
2021-08-13,Moderna,Ostbelgien,-10,10,-100,12,-120
2021-08-13,Moderna,Stock,2170,10,21700,12,26040
2021-08-16,Pfizer/BioNTech,Flanders,41535,6,249210,7,290745
2021-08-16,Pfizer/BioNTech,Wallonia,12675,6,76050,7,88725
2021-08-16,Pfizer/BioNTech,Stock,17355,6,104130,7,121485
2021-08-18,AstraZeneca,Donations - COVAX,28080,10,280800,12,336960
2021-08-18,Janssen (J&J),Flanders,-55,5,-275,6,-330
2021-08-18,Janssen (J&J),Wallonia,55,5,275,6,330
2021-08-23,Pfizer/BioNTech,Other,195,6,1170,7,1365
2021-08-23,Pfizer/BioNTech,Flanders,41535,6,249210,7,290745
2021-08-23,Pfizer/BioNTech,Wallonia,22425,6,134550,7,156975
2021-08-23,Pfizer/BioNTech,Brussels,1950,6,11700,7,13650
2021-08-23,Pfizer/BioNTech,Stock,5460,6,32760,7,38220
2021-08-25,AstraZeneca,Donations - COVAX,40760,10,407600,12,489120
2021-08-25,AstraZeneca,Stock,-30,10,-300,12,-360
2021-08-25,Janssen (J&J),Flanders,-50,5,-250,6,-300
2021-08-25,Janssen (J&J),Wallonia,50,5,250,6,300
2021-08-30,Pfizer/BioNTech,Other,-1560,6,-9360,7,-10920
2021-08-30,Pfizer/BioNTech,Flanders,49335,6,296010,7,345345
2021-08-30,Pfizer/BioNTech,Wallonia,26715,6,160290,7,187005
2021-08-30,Pfizer/BioNTech,Brussels,10140,6,60840,7,70980
2021-08-30,Pfizer/BioNTech,Stock,585,6,3510,7,4095
2021-09-01,AstraZeneca,Donations - COVAX,3840,10,38400,12,46080
2021-09-03,Janssen (J&J),Flanders,-8183,5,-40915,6,-49098
2021-09-03,Janssen (J&J),Wallonia,100,5,500,6,600
2021-09-03,Janssen (J&J),Brussels,7463,5,37315,6,44778
2021-09-03,Janssen (J&J),Other,620,5,3100,6,3720
2021-09-06,Pfizer/BioNTech,Wallonia,26520,6,159120,7,185640
2021-09-06,Pfizer/BioNTech,Brussels,8580,6,51480,7,60060
2021-09-06,Pfizer/BioNTech,Stock,50115,6,300690,7,350805
2021-09-08,AstraZeneca,Donations - COVAX,2880,10,28800,12,34560
2021-09-13,Pfizer/BioNTech,Flanders,32955,6,197730,7,230685
2021-09-13,Pfizer/BioNTech,Wallonia,17940,6,107640,7,125580
2021-09-13,Pfizer/BioNTech,Brussels,5850,6,35100,7,40950
2021-09-13,Pfizer/BioNTech,Ostbelgien,390,6,2340,7,2730
2021-09-15,AstraZeneca,Donations - COVAX,14976,10,149760,12,179712
2021-09-17,Moderna,Flanders,15950,10,159500,12,191400
2021-09-17,Moderna,Brussels,2810,10,28100,12,33720
2021-09-17,Moderna,Stock,8840,10,88400,12,106080
2021-09-20,Pfizer/BioNTech,Flanders,32955,6,197730,7,230685
2021-09-20,Pfizer/BioNTech,Wallonia,17940,6,107640,7,125580
2021-09-20,Pfizer/BioNTech,Brussels,5850,6,35100,7,40950
2021-09-20,Pfizer/BioNTech,Ostbelgien,390,6,2340,7,2730
2021-09-24,Moderna,Flanders,15950,10,159500,12,191400
2021-09-24,Moderna,Brussels,2810,10,28100,12,33720
2021-09-24,Moderna,Stock,8840,10,88400,12,106080
2021-09-27,Pfizer/BioNTech,Flanders,81705,6,490230,7,571935
2021-09-27,Pfizer/BioNTech,Wallonia,44265,6,265590,7,309855
2021-09-27,Pfizer/BioNTech,Brussels,14430,6,86580,7,101010
2021-09-27,Pfizer/BioNTech,Ostbelgien,975,6,5850,7,6825
2021-10-01,Moderna,Flanders,15750,10,157500,12,189000
2021-10-01,Moderna,Brussels,2770,10,27700,12,33240
2021-10-01,Moderna,Stock,8720,10,87200,12,104640
