"DATE","NEW_IN","AVERAGE"
"2021-05-02",161,192.85714285714286
"2021-05-03",153,192.42857142857142
"2021-05-04",191,186.71428571428572
"2021-05-05",164,180.14285714285714
"2021-05-06",145,171.42857142857142
"2021-05-07",163,167.42857142857142
"2021-05-08",164,163
"2021-05-09",159,162.71428571428572
"2021-05-10",134,160
"2021-05-11",166,156.42857142857142
"2021-05-12",148,154.14285714285714
"2021-05-13",144,154
"2021-05-14",102,145.28571428571428
"2021-05-15",168,145.85714285714286
"2021-05-16",105,138.14285714285714
"2021-05-17",99,133.14285714285714
"2021-05-18",131,128.14285714285714
"2021-05-19",141,127.14285714285714
"2021-05-20",121,123.85714285714286
"2021-05-21",127,127.42857142857143
"2021-05-22",123,121
"2021-05-23",88,118.57142857142857
"2021-05-24",76,115.28571428571429
"2021-05-25",90,109.42857142857143
"2021-05-26",110,105
"2021-05-27",91,100.71428571428571
"2021-05-28",83,94.42857142857143
"2021-05-29",92,90
"2021-05-30",69,87.28571428571429
"2021-05-31",56,84.42857142857143
"2021-06-01",92,84.71428571428571
"2021-06-02",81,80.57142857142857
"2021-06-03",75,78.28571428571429
"2021-06-04",74,77
"2021-06-05",76,74.71428571428571
"2021-06-06",46,71.42857142857143
"2021-06-07",42,69.42857142857143
"2021-06-08",73,66.71428571428571
"2021-06-09",65,64.42857142857143
"2021-06-10",48,60.57142857142857
"2021-06-11",47,56.714285714285715
"2021-06-12",45,52.285714285714285
"2021-06-13",25,49.285714285714285
"2021-06-14",40,49
"2021-06-15",45,45
"2021-06-16",27,39.57142857142857
"2021-06-17",33,37.42857142857143
"2021-06-18",29,34.857142857142854
"2021-06-19",33,33.142857142857146
"2021-06-20",28,33.57142857142857
"2021-06-21",27,31.714285714285715
"2021-06-22",24,28.714285714285715
"2021-06-23",29,29
"2021-06-24",30,28.571428571428573
"2021-06-25",15,26.571428571428573
"2021-06-26",24,25.285714285714285
"2021-06-27",12,23
"2021-06-28",15,21.285714285714285
"2021-06-29",18,20.428571428571427
"2021-06-30",14,18.285714285714285
"2021-07-01",7,15
"2021-07-02",22,16
"2021-07-03",17,15
"2021-07-04",16,15.571428571428571
"2021-07-05",11,15
"2021-07-06",24,15.857142857142858
