"DATE","CASES","AVERAGE"
"2021-06-22",373,368.2857142857143
"2021-06-23",399,365
"2021-06-24",345,349.7142857142857
"2021-06-25",401,346
"2021-06-26",263,344.2857142857143
"2021-06-27",189,351.14285714285717
"2021-06-28",604,367.7142857142857
"2021-06-29",568,395.57142857142856
"2021-06-30",632,428.85714285714283
"2021-07-01",676,476.14285714285717
"2021-07-02",724,522.2857142857143
"2021-07-03",521,559.1428571428571
"2021-07-04",366,584.4285714285714
"2021-07-05",997,640.5714285714286
"2021-07-06",1043,708.4285714285714
"2021-07-07",1172,785.5714285714286
"2021-07-08",1227,864.2857142857143
"2021-07-09",1289,945
"2021-07-10",1004,1014
"2021-07-11",780,1073.142857142857
"2021-07-12",1765,1182.857142857143
"2021-07-13",1429,1238
"2021-07-14",1446,1277.142857142857
"2021-07-15",1391,1300.5714285714287
"2021-07-16",1569,1340.5714285714287
"2021-07-17",1104,1354.857142857143
"2021-07-18",839,1363.2857142857142
"2021-07-19",2131,1415.5714285714287
"2021-07-20",1957,1491
"2021-07-21",791,1397.4285714285713
"2021-07-22",1914,1472.142857142857
"2021-07-23",1656,1484.5714285714287
"2021-07-24",1158,1492.2857142857142
"2021-07-25",784,1484.4285714285713
"2021-07-26",2111,1481.5714285714287
"2021-07-27",1600,1430.5714285714287
"2021-07-28",1752,1567.857142857143
"2021-07-29",1781,1548.857142857143
"2021-07-30",1798,1569.142857142857
"2021-07-31",1186,1573.142857142857
"2021-08-01",1056,1612
"2021-08-02",2249,1631.7142857142858
"2021-08-03",1949,1681.5714285714287
"2021-08-04",1874,1699
"2021-08-05",1836,1706.857142857143
"2021-08-06",2134,1754.857142857143
"2021-08-07",1273,1767.2857142857142
"2021-08-08",922,1748.142857142857
"2021-08-09",2595,1797.5714285714287
"2021-08-10",2215,1835.5714285714287
"2021-08-11",1992,1852.4285714285713
"2021-08-12",2159,1898.5714285714287
"2021-08-13",2273,1918.4285714285713
"2021-08-14",1353,1929.857142857143
"2021-08-15",767,1907.7142857142858
"2021-08-16",2831,1941.4285714285713
"2021-08-17",2247,1946
"2021-08-18",2264,1984.857142857143
"2021-08-19",2006,1963
"2021-08-20",2245,1959
"2021-08-21",1285,1949.2857142857142
"2021-08-22",956,1976.2857142857142
"2021-08-23",2655,1951.142857142857
"2021-08-24",2459,1981.4285714285713
"2021-08-25",2396,2000.2857142857142
"2021-08-26",2185,2025.857142857143
"2021-08-27",2217,2021.857142857143
"2021-08-28",1372,2034.2857142857142
"2021-08-29",832,2016.5714285714287
"2021-08-30",2942,2057.5714285714284
"2021-08-31",2356,2042.857142857143
"2021-09-01",2221,2017.857142857143
"2021-09-02",2111,2007.2857142857142
"2021-09-03",2155,1998.4285714285713
"2021-09-04",1241,1979.7142857142858
"2021-09-05",733,1965.5714285714287
"2021-09-06",2798,1945
"2021-09-07",2361,1945.7142857142858
"2021-09-08",2187,1940.857142857143
"2021-09-09",2104,1939.857142857143
"2021-09-10",2323,1963.857142857143
"2021-09-11",1305,1973
"2021-09-12",678,1965.142857142857
"2021-09-13",2930,1984
"2021-09-14",2495,2003.142857142857
"2021-09-15",2321,2022.2857142857142
"2021-09-16",2427,2068.4285714285716
"2021-09-17",2389,2077.8571428571427
"2021-09-18",1262,2071.714285714286
"2021-09-19",652,2068
"2021-09-20",2937,2069
"2021-09-21",2266,2036.2857142857142
"2021-09-22",2171,2014.857142857143
"2021-09-23",2080,1965.2857142857142
"2021-09-24",2251,1945.5714285714287
"2021-09-25",1216,1939
"2021-09-26",723,1949.142857142857
"2021-09-27",2626,1904.7142857142858
"2021-09-28",2389,1922.2857142857142
"2021-09-29",2164,1921.2857142857142
"2021-09-30",2163,1933.142857142857
"2021-10-01",2147,1918.2857142857142
"2021-10-02",1144,1908
"2021-10-03",677,1901.4285714285713
"2021-10-04",2790,1924.857142857143
"2021-10-05",2288,1910.4285714285713
